City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,rainfall 1hr,snowfall 1hr,Date
0,Kununurra,AU,-15.77,128.73,62.6,30,0,2.24,clear sky,0.0,0.0,2020-06-14 19:27:13
1,Oistins,BB,13.07,-59.53,87.8,62,20,20.8,few clouds,0.0,0.0,2020-06-14 19:23:12
2,Eureka,US,40.8,-124.16,68.0,50,93,4.0,overcast clouds,0.0,0.0,2020-06-14 19:24:55
3,Lodja,CD,-3.48,23.43,74.32,54,0,1.57,clear sky,0.0,0.0,2020-06-14 19:27:13
4,Mayo,US,38.89,-76.51,75.99,56,1,8.05,clear sky,0.0,0.0,2020-06-14 19:27:14
5,Qaanaaq,GL,77.48,-69.36,41.85,71,0,5.14,clear sky,0.0,0.0,2020-06-14 19:27:14
6,Kahului,US,20.89,-156.47,82.4,54,20,21.92,few clouds,0.0,0.0,2020-06-14 19:27:07
7,Isangel,VU,-19.55,169.27,71.6,88,20,6.93,few clouds,0.0,0.0,2020-06-14 19:27:14
8,Fort-Shevchenko,KZ,44.51,50.26,89.11,28,0,26.57,clear sky,0.0,0.0,2020-06-14 19:27:15
9,Sabha,LY,27.04,14.43,98.1,9,0,10.8,clear sky,0.0,0.0,2020-06-14 19:27:15
10,Punta Arenas,CL,-53.15,-70.92,35.6,93,90,13.87,light rain,0.0,0.0,2020-06-14 19:27:15
11,Mataura,NZ,-46.19,168.86,39.0,83,98,3.0,overcast clouds,0.0,0.0,2020-06-14 19:27:15
12,Cape Town,ZA,-33.93,18.42,57.99,93,75,6.93,light rain,0.25,0.0,2020-06-14 19:25:41
13,Albany,US,42.6,-73.97,73.99,34,20,1.01,few clouds,0.0,0.0,2020-06-14 19:27:16
14,Busselton,AU,-33.65,115.33,54.0,67,77,9.75,broken clouds,0.0,0.0,2020-06-14 19:27:16
15,Hamilton,US,39.18,-84.53,73.99,53,75,5.82,broken clouds,0.0,0.0,2020-06-14 19:23:28
16,Husavik,IS,66.04,-17.34,60.8,51,100,12.75,overcast clouds,0.0,0.0,2020-06-14 19:27:16
17,Yulara,AU,-25.24,130.99,44.6,65,59,5.82,broken clouds,0.0,0.0,2020-06-14 19:22:33
18,Vestmannaeyjar,IS,63.44,-20.27,50.0,81,90,17.22,overcast clouds,0.0,0.0,2020-06-14 19:27:17
19,Srednekolymsk,RU,67.45,153.68,69.87,42,0,4.56,clear sky,0.0,0.0,2020-06-14 19:27:17
20,Acarau,BR,-2.89,-40.12,82.53,78,38,10.67,light rain,0.68,0.0,2020-06-14 19:27:17
21,Ushuaia,AR,-54.8,-68.3,33.8,74,40,6.93,scattered clouds,0.0,0.0,2020-06-14 19:26:54
22,Hermanus,ZA,-34.42,19.23,55.0,96,100,7.9,moderate rain,2.45,0.0,2020-06-14 19:27:18
23,Dunedin,NZ,-45.87,170.5,44.01,67,96,1.99,overcast clouds,0.0,0.0,2020-06-14 19:23:09
24,Gabu,GW,12.28,-14.22,94.6,42,12,1.81,few clouds,0.0,0.0,2020-06-14 19:27:18
25,Yellowknife,CA,62.46,-114.35,66.2,42,20,21.92,few clouds,0.0,0.0,2020-06-14 19:24:02
26,San Rafael Del Sur,NI,11.85,-86.44,86.14,64,92,5.88,light rain,0.14,0.0,2020-06-14 19:27:18
27,Te Anau,NZ,-45.42,167.72,45.37,82,100,5.86,overcast clouds,0.0,0.0,2020-06-14 19:27:19
28,Tilichiki,RU,60.47,166.1,47.19,69,55,0.72,broken clouds,0.0,0.0,2020-06-14 19:27:04
29,Mahebourg,MU,-20.41,57.7,71.6,83,20,9.17,few clouds,0.0,0.0,2020-06-14 19:27:19
30,Ahtopol,BG,42.1,27.95,68.0,100,40,5.82,scattered clouds,0.0,0.0,2020-06-14 19:27:19
31,Manturovo,RU,58.34,44.76,50.97,82,0,2.13,clear sky,0.0,0.0,2020-06-14 19:27:19
32,Hilo,US,19.73,-155.09,75.99,78,90,4.7,moderate rain,1.53,0.0,2020-06-14 19:26:41
33,Goderich,CA,43.75,-81.72,61.0,70,7,12.35,clear sky,0.0,0.0,2020-06-14 19:27:20
34,Mackenzie,CA,55.3,-123.17,50.0,93,90,6.2,light rain,0.0,0.0,2020-06-14 19:27:20
35,Siedlce,PL,52.17,22.29,61.0,67,5,6.58,clear sky,0.0,0.0,2020-06-14 19:27:20
36,Rikitea,PF,-23.12,-134.97,75.76,81,0,18.16,clear sky,0.0,0.0,2020-06-14 19:27:21
37,New Norfolk,AU,-42.78,147.06,54.0,83,14,3.0,few clouds,0.0,0.0,2020-06-14 19:27:21
38,Gat,IL,31.61,34.76,75.99,75,0,8.32,clear sky,0.0,0.0,2020-06-14 19:27:21
39,Porbandar,IN,21.64,69.61,86.22,83,100,9.55,overcast clouds,0.0,0.0,2020-06-14 19:27:18
40,Mananara,MG,-16.17,49.77,67.42,80,0,6.8,clear sky,0.0,0.0,2020-06-14 19:27:22
41,Sao Filipe,CV,14.9,-24.5,77.43,78,0,10.54,clear sky,0.0,0.0,2020-06-14 19:27:10
42,Chicama,PE,-7.84,-79.15,73.62,56,36,9.93,scattered clouds,0.0,0.0,2020-06-14 19:27:23
43,Upata,VE,8.01,-62.4,82.99,77,100,3.0,moderate rain,2.17,0.0,2020-06-14 19:27:23
