City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Oistins,BB,87.8,few clouds,13.07,-59.53,Butterfly Beach Hotel
4,Mayo,US,75.99,clear sky,38.89,-76.51,Resorts Resource Group International
6,Kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
8,Fort-Shevchenko,KZ,89.11,clear sky,44.51,50.26,Oasis hotel Bautino
36,Rikitea,PF,75.76,clear sky,-23.12,-134.97,Pension Maro'i
38,Gat,IL,75.99,clear sky,31.61,34.76,רגע בנחת
39,Porbandar,IN,86.22,overcast clouds,21.64,69.61,Lords Inn Porbandar
41,Sao Filipe,CV,77.43,clear sky,14.9,-24.5,Tortuga B&B
49,Pitimbu,BR,82.4,broken clouds,-7.47,-34.81,Reserva do Abiaí
51,Lorengau,PG,82.54,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
52,Denia,ES,75.0,clear sky,38.84,0.11,Hotel Port Dénia
59,Avera,US,86.0,clear sky,33.19,-82.53,
61,Ajdabiya,LY,83.07,clear sky,30.76,20.23,فندق التوجان
64,Neyshabur,IR,83.17,clear sky,36.21,58.8,Amiran Hotel
67,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
68,Faanui,PF,80.53,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Komsomolskiy,UZ,77.0,overcast clouds,40.43,71.72,Ikathouse
70,Atuona,PF,80.15,overcast clouds,-9.8,-139.03,Villa Enata
72,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
73,Nkan,GA,78.8,few clouds,0.38,9.78,Hôtel Santa Barbara
80,Taitung,TW,81.46,clear sky,22.76,121.14,Taitung Bali Suites Hotel
81,Pauini,BR,81.52,overcast clouds,-7.71,-66.98,Casa do Kiwliks
89,Ivanovka,KG,75.2,scattered clouds,42.89,75.08,
94,Neosho,US,90.0,clear sky,36.87,-94.37,Best Western Big Spring Lodge
97,Saint George,US,86.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
108,Kango,GA,75.06,broken clouds,0.19,10.1,Le Flamboyant du Como
115,Buchanan,LR,78.8,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
116,Sao Joao Da Barra,BR,78.8,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
124,Najran,SA,84.2,scattered clouds,17.49,44.13,محمد هادي ال فطيح
129,Springdale,US,90.0,scattered clouds,36.19,-94.13,Springdale Inn
130,Urgut,UZ,77.0,clear sky,39.4,67.24,Qora tepa
137,Laguna,US,79.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
138,Pontian Kecil,MY,80.01,few clouds,1.48,103.39,SUNFLOWER EXPRESS HOTEL
141,Aksu,CN,75.31,clear sky,41.12,80.26,Pudong Holiday Hotel
142,Carberry,CA,77.0,broken clouds,49.87,-99.36,Carberry Motor Inn
147,Fare,PF,80.78,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
149,Hirara,JP,83.21,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
152,Chizhou,CN,77.9,overcast clouds,30.66,117.48,Home Inn Chizhou Qiupu West Road Xiushanmen Square
153,Amarante Do Maranhao,BR,86.07,clear sky,-5.57,-46.74,Hotéis Caçulinha
156,Linhai,CN,79.0,overcast clouds,28.85,121.12,Linhai S&N International Hotel
161,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
162,Jensen Beach,US,87.01,thunderstorm,27.25,-80.23,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
167,Tilaran,CR,82.4,light rain,10.47,-84.97,Hotel Wilson Tilaran
168,Padang,ID,79.88,broken clouds,-0.95,100.35,Mercure Padang
169,High Rock,BS,84.2,shower rain,26.62,-78.28,Ocean Pearl Bonefishing Resort
181,Bontang,ID,77.83,scattered clouds,0.13,117.5,Okra Leaf Guest House Syariah
186,Mattru,SL,75.47,overcast clouds,7.62,-11.83,Boima Gbondo's Compound
187,Coahuayana,MX,80.6,scattered clouds,18.73,-103.68,Hotel Los Arcos
188,Camargo,MX,87.64,clear sky,27.67,-105.17,Hotel Santa Fe
