City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Otake,JP,2020-06-14 01:58:44,34.2,132.22,80.6,74,75,10.29
1,Saint George,US,2020-06-14 01:54:02,37.1,-113.58,89.6,4,1,26.4
2,Chuy,UY,2020-06-14 01:58:44,-33.7,-53.46,43.0,66,1,10.51
3,Pinega,RU,2020-06-14 01:58:45,64.7,43.39,53.46,62,64,7.05
4,Hobart,AU,2020-06-14 01:56:00,-42.88,147.33,57.2,50,100,16.11
5,Ushuaia,AR,2020-06-14 01:58:45,-54.8,-68.3,32.0,91,20,4.7
6,Busselton,AU,2020-06-14 01:58:45,-33.65,115.33,63.0,73,75,12.21
7,Waitati,NZ,2020-06-14 01:58:45,-45.75,170.57,51.01,50,0,10.0
8,Tuatapere,NZ,2020-06-14 01:58:46,-46.13,167.68,48.0,71,0,3.0
9,Carnarvon,AU,2020-06-14 01:53:58,-24.87,113.63,65.53,38,0,20.33
10,Longyearbyen,SJ,2020-06-14 01:58:46,78.22,15.64,35.6,89,75,5.82
11,Talnakh,RU,2020-06-14 01:58:46,69.49,88.4,57.2,44,100,20.13
12,Ossora,RU,2020-06-14 01:58:47,59.24,163.07,57.43,54,100,6.02
13,Mataura,NZ,2020-06-14 01:58:47,-46.19,168.86,48.0,71,0,3.0
14,Saskylakh,RU,2020-06-14 01:57:26,71.92,114.08,48.54,49,74,7.36
15,Lagoa,PT,2020-06-14 01:58:47,39.05,-27.98,60.84,72,46,14.07
16,Vaini,TO,2020-06-14 01:58:48,-21.2,-175.2,75.2,64,75,13.87
17,Pavilosta,LV,2020-06-14 01:58:48,56.89,21.19,53.6,76,0,5.82
18,Iqaluit,CA,2020-06-14 01:58:48,63.75,-68.51,37.4,74,75,10.29
19,Hanmer Springs,NZ,2020-06-14 01:58:49,-42.52,172.82,52.09,44,0,1.3
20,Husavik,IS,2020-06-14 01:58:49,66.04,-17.34,48.2,66,40,4.7
21,Kaohsiung,TW,2020-06-14 01:56:30,22.62,120.31,89.6,66,75,14.99
22,New Norfolk,AU,2020-06-14 01:58:49,-42.78,147.06,57.0,68,81,1.99
23,Rikitea,PF,2020-06-14 01:58:50,-23.12,-134.97,75.94,84,100,13.42
24,Barrow,US,2020-06-14 01:57:18,71.29,-156.79,41.0,75,90,5.82
25,Cabo San Lucas,MX,2020-06-14 01:58:50,22.89,-109.91,91.4,18,75,12.75
26,Yellowknife,CA,2020-06-14 01:58:50,62.46,-114.35,68.0,39,75,17.22
27,Hobyo,SO,2020-06-14 01:58:50,5.35,48.53,79.43,70,100,18.16
28,Xinqing,CN,2020-06-14 01:58:51,48.23,129.5,53.44,94,100,15.21
29,Ponta Do Sol,PT,2020-06-14 01:58:51,32.67,-17.1,66.2,72,20,3.36
30,Mayo,US,2020-06-14 01:58:51,38.89,-76.51,71.6,49,1,4.7
31,Norman Wells,CA,2020-06-14 01:58:51,65.28,-126.83,75.2,27,75,21.92
32,Bredasdorp,ZA,2020-06-14 01:58:52,-34.53,20.04,55.4,71,0,6.44
33,Severo-Kurilsk,RU,2020-06-14 01:58:52,50.68,156.12,40.73,92,100,21.83
34,Kodiak,US,2020-06-14 01:58:52,57.79,-152.41,59.0,58,1,14.99
